Comment,Designator,Footprint,LCSC Part #
"proteus","BRD1","proteus",""
"D_Schottky","D1","D_SMA","C8678"
"DNP","D2","D_SMA",""
"D_Schottky","D3","D_SMA","C8678"
"D_Schottky","D4","D_SMA","C8678"
"D_Schottky","D5","D_SMA","C8678"
"D_Schottky","D6","D_SMA","C8678"
"D_Schottky","D7","D_SMA","C8678"
"Fuse-Pad-Pad","F1","PAD-1206-PAD","C182446"
"Fuse-Pad-Pad","F2","PAD-1206-PAD",""
"Fuse-Pad-Pad","F3","PAD-1206-PAD","C182446"
"RUSEFI_LOGO","G1","rusefi_logo",""
"PROTO_AREA","G2","PROTO_AREA",""
"PROTO_AREA","G3","PROTO_AREA",""
"PROTO_AREA","G4","PROTO_AREA",""
"PROTO_AREA","G5","PROTO_AREA",""
"PROTO_AREA","G6","PROTO_AREA",""
"PROTO_AREA","G7","PROTO_AREA",""
"PROTO_AREA","G8","PROTO_AREA",""
"MountingHole","H1","MountingHole_5mm_Pad_TopOnly",""
"MountingHole","H2","MountingHole_5mm_Pad_TopOnly",""
"MountingHole","H3","MountingHole_5mm_Pad_TopOnly",""
"MountingHole","H4","MountingHole_5mm_Pad_TopOnly",""
"XH-10AW","J1","JST_XH_S10B-XH-A_1x10_P2.50mm_Horizontal","C14652"
"TE-3-178780-6","J2","TE-3-178780-6",""
"Conn_01x06","J4","PinHeader_1x06_P2.54mm_Vertical",""
"Conn_01x01","J5","TestPoint_Pad_D4.0mm",""
"Module:wbo/0.3","M1","wbo",""
"Module:can/0.1","M2","can",""
"Pad","P1","PAD-TH",""
"Pad","P2","PAD-TH",""
"Pad","P3","PAD-TH",""
"Pad","P4","PAD-TH",""
"Pad","P5","PAD-TH",""
"Pad","P6","PAD-TH",""
"Pad","P7","PAD-TH",""
"Pad","P8","PAD-TH",""
"Pad","P9","PAD-TH",""
"Pad","P10","PAD-TH",""
"Pad","P11","PAD-TH",""
"Pad","P12","PAD-TH",""
"Pad","P13","PAD-TH",""
"Pad","P14","PAD-TH",""
"Pad","P15","PAD-TH",""
"Pad","P16","PAD-TH",""
"Pad","P17","PAD-TH",""
"Pad","P18","PAD-TH",""
"Pad","P19","PAD-TH",""
"Pad","P20","PAD-TH",""
"Pad","P21","PAD-TH",""
"Pad","P22","PAD-TH",""
"Pad","P23","PAD-TH",""
"Pad","P24","PAD-TH",""
"Pad","P25","PAD-TH",""
"Pad","P26","PAD-TH",""
"Pad","P27","PAD-TH",""
"Pad","P28","PAD-TH",""
"Pad","P29","PAD-TH",""
"Pad","P30","PAD-TH",""
"Pad","P31","PAD-TH",""
"Pad","P32","PAD-TH",""
"Pad","P33","PAD-TH",""
"Pad","P34","PAD-TH",""
"Pad","P35","PAD-TH",""
"Pad","P36","PAD-TH",""
"Pad","P37","PAD-TH",""
"Pad","P38","PAD-TH",""
"Pad","P39","PAD-TH",""
"Pad","P40","PAD-TH",""
"Pad","P41","PAD-TH",""
"Pad","P42","PAD-TH",""
"Pad","P43","PAD-TH",""
"Pad","P44","PAD-TH",""
"Pad","P45","PAD-TH",""
"Pad","P46","PAD-TH",""
"Pad","P47","PAD-TH",""
"Pad","P48","PAD-TH",""
"Pad","P49","PAD-TH",""
"Pad","P50","PAD-TH",""
"Pad","P51","PAD-TH",""
"Pad","P52","PAD-TH",""
"Pad","P53","PAD-TH",""
"Pad","P54","PAD-TH",""
"Pad","P55","PAD-TH",""
"Pad","P56","PAD-TH",""
"Pad","P57","PAD-TH",""
"Pad","P58","PAD-TH",""
"Pad","P59","PAD-TH",""
"Pad","P60","PAD-TH",""
"Pad","P61","PAD-TH",""
"Pad","P62","PAD-TH",""
"Pad","P63","PAD-TH",""
"Pad","P64","PAD-TH",""
"Pad","P65","PAD-TH",""
"Pad","P66","PAD-TH",""
"Pad","P67","PAD-TH",""
"AUIPS2041LTR","Q1","SOT-223","C113610"
"AUIPS2041LTR","Q2","SOT-223","C113610"
"AUIPS2041LTR","Q3","SOT-223","C113610"
"AUIPS2041LTR","Q4","SOT-223","C113610"
"Jumper-Pad-Pad","R1","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R2","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R3","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R4","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R5","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R6","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R7","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R8","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R9","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R10","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R11","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R12","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R13","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R14","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R15","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R16","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R17","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R18","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R19","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R20","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R21","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R22","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R23","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R24","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R25","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R26","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R27","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R28","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R29","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R30","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R31","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R32","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R33","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R34","PAD-0805-PAD",""
"Jumper-Pad-Pad","R35","PAD-0805-PAD","C17477"
"Jumper-Pad-Pad","R36","PAD-0805-PAD",""
"10k","R37","R0402","C60489"
"10k","R38","R0402","C60489"
"10k","R39","R0402","C60489"
"10k","R40","R0402","C60489"
